Date,HomeTeam,AwayTeam,FTHG,FTAG
28/12/2008,HOU,CHI,31,24
22/12/2008,CHI,GB,20,17
11/12/2008,CHI,NO,27,24
07/12/2008,CHI,JAX,23,10
30/11/2008,MIN,CHI,34,14
23/11/2008,LAR,CHI,3,27
16/11/2008,GB,CHI,37,3
09/11/2008,CHI,TEN,14,21
02/11/2008,CHI,DET,27,23
19/10/2008,CHI,MIN,48,41
12/10/2008,ATL,CHI,22,20
05/10/2008,DET,CHI,7,34
07/01/2024,CAR,TB,0,9
31/12/2023,JAX,CAR,26,0
24/12/2023,CAR,GB,30,33
17/12/2023,CAR,ATL,9,7
10/12/2023,NO,CAR,28,6
03/12/2023,TB,CAR,21,18
26/11/2023,TEN,CAR,17,10
19/11/2023,CAR,DAL,10,33
05/11/2023,CAR,IND,13,27
29/10/2023,CAR,HOU,15,13
15/10/2023,MIA,CAR,42,21
08/10/2023,DET,CAR,42,24
01/10/2023,CAR,MIN,13,21
24/09/2023,SEA,CAR,37,27
18/09/2023,CAR,NO,17,20
10/09/2023,ATL,CAR,24,10
08/01/2023,NO,CAR,7,10
01/01/2023,TB,CAR,30,24
24/12/2022,CAR,DET,37,23
11/12/2022,SEA,CAR,24,30
27/11/2022,CAR,DEN,23,10
20/11/2022,BAL,CAR,13,3
10/11/2022,CAR,ATL,25,15
06/11/2022,CIN,CAR,42,21
30/10/2022,ATL,CAR,37,34
23/10/2022,CAR,TB,21,3
16/10/2022,LAR,CAR,24,10
09/10/2022,CAR,SF,15,37
02/10/2022,CAR,ARI,16,26
25/09/2022,CAR,NO,22,14
18/09/2022,NYG,CAR,19,16
11/09/2022,CAR,CLE,24,26
09/01/2022,TB,CAR,41,17
02/01/2022,NO,CAR,18,10
26/12/2021,CAR,TB,6,32
19/12/2021,BUF,CAR,31,14
12/12/2021,CAR,ATL,21,29
28/11/2021,MIA,CAR,33,10
21/11/2021,CAR,WSH,21,27
14/11/2021,ARI,CAR,10,34
07/11/2021,CAR,NE,6,24
31/10/2021,ATL,CAR,13,19
24/10/2021,NYG,CAR,25,3
17/10/2021,CAR,MIN,28,34
10/10/2021,CAR,PHI,18,21
03/10/2021,DAL,CAR,36,28
23/09/2021,HOU,CAR,9,24
19/09/2021,CAR,NO,26,7
12/09/2021,CAR,NYJ,19,14
03/01/2021,CAR,NO,7,33
27/12/2020,WSH,CAR,13,20
19/12/2020,GB,CAR,24,16
13/12/2020,CAR,DEN,27,32
29/11/2020,MIN,CAR,28,27
22/11/2020,CAR,DET,20,0
15/11/2020,CAR,TB,23,46
08/11/2020,KC,CAR,33,31
29/10/2020,CAR,ATL,17,25
25/10/2020,NO,CAR,27,24
11/10/2020,ATL,CAR,16,23
04/10/2020,CAR,ARI,31,21
27/09/2020,LAC,CAR,16,21
20/09/2020,TB,CAR,31,17
13/09/2020,CAR,LV,30,34
29/12/2019,CAR,NO,10,42
22/12/2019,IND,CAR,38,6
15/12/2019,CAR,SEA,24,30
08/12/2019,ATL,CAR,40,20
01/12/2019,CAR,WSH,21,29
24/11/2019,NO,CAR,34,31
17/11/2019,CAR,ATL,3,29
10/11/2019,GB,CAR,24,16
03/11/2019,CAR,TEN,30,20
27/10/2019,SF,CAR,51,13
13/10/2019,TB,CAR,26,37
06/10/2019,CAR,JAX,34,27
29/09/2019,HOU,CAR,10,16
22/09/2019,ARI,CAR,20,38
12/09/2019,CAR,TB,14,20
08/09/2019,CAR,LAR,27,30
30/12/2018,NO,CAR,14,33
23/12/2018,CAR,ATL,10,24
17/12/2018,CAR,NO,9,12
09/12/2018,CLE,CAR,26,20
02/12/2018,TB,CAR,24,17
25/11/2018,CAR,SEA,27,30
18/11/2018,DET,CAR,20,19
04/11/2018,CAR,TB,42,28
28/10/2018,CAR,BAL,36,21
21/10/2018,PHI,CAR,17,21
14/10/2018,WSH,CAR,23,17
07/10/2018,CAR,NYG,33,31
23/09/2018,CAR,CIN,31,21
16/09/2018,ATL,CAR,31,24
09/09/2018,CAR,DAL,16,8
07/01/2018,NO,CAR,31,26
31/12/2017,ATL,CAR,22,10
24/12/2017,CAR,TB,22,19
17/12/2017,CAR,GB,31,24
10/12/2017,CAR,MIN,31,24
03/12/2017,NO,CAR,31,21
26/11/2017,NYJ,CAR,27,35
13/11/2017,CAR,MIA,45,21
05/11/2017,CAR,ATL,20,17
29/10/2017,TB,CAR,3,17
12/10/2017,CAR,PHI,23,28
08/10/2017,DET,CAR,24,27
01/10/2017,NE,CAR,30,33
24/09/2017,CAR,NO,13,34
17/09/2017,CAR,BUF,9,3
10/09/2017,SF,CAR,3,23
01/01/2017,TB,CAR,17,16
24/12/2016,CAR,ATL,16,33
19/12/2016,WSH,CAR,15,26
11/12/2016,CAR,LAC,28,16
04/12/2016,SEA,CAR,40,7
27/11/2016,LV,CAR,35,32
17/11/2016,CAR,NO,23,20
13/11/2016,CAR,KC,17,20
06/11/2016,LAR,CAR,10,13
30/10/2016,CAR,ARI,30,20
16/10/2016,NO,CAR,41,38
10/10/2016,CAR,TB,14,17
02/10/2016,ATL,CAR,48,33
25/09/2016,CAR,MIN,10,22
18/09/2016,CAR,SF,46,27
08/09/2016,DEN,CAR,21,20
07/02/2016,DEN,CAR,24,10
24/01/2016,CAR,ARI,49,15
17/01/2016,CAR,SEA,31,24
03/01/2016,CAR,TB,38,10
27/12/2015,ATL,CAR,20,13
20/12/2015,NYG,CAR,35,38
13/12/2015,CAR,ATL,38,0
06/12/2015,NO,CAR,38,41
26/11/2015,DAL,CAR,14,33
22/11/2015,CAR,WSH,44,16
15/11/2015,TEN,CAR,10,27
08/11/2015,CAR,GB,37,29
02/11/2015,CAR,IND,29,26
25/10/2015,CAR,PHI,27,16
18/10/2015,SEA,CAR,23,27
04/10/2015,TB,CAR,23,37
27/09/2015,CAR,NO,27,22
20/09/2015,CAR,HOU,24,17
13/09/2015,JAX,CAR,9,20
10/01/2015,SEA,CAR,31,17
03/01/2015,CAR,ARI,27,16
28/12/2014,ATL,CAR,3,34
21/12/2014,CAR,CLE,17,13
14/12/2014,CAR,TB,19,17
07/12/2014,NO,CAR,10,41
30/11/2014,MIN,CAR,31,13
16/11/2014,CAR,ATL,17,19
10/11/2014,PHI,CAR,45,21
30/10/2014,CAR,NO,10,28
26/10/2014,CAR,SEA,9,13
19/10/2014,GB,CAR,38,17
12/10/2014,CIN,CAR,37,37
28/09/2014,BAL,CAR,38,10
14/09/2014,CAR,DET,24,7
07/09/2014,TB,CAR,14,20
12/01/2014,CAR,SF,10,23
29/12/2013,ATL,CAR,20,21
22/12/2013,CAR,NO,17,13
15/12/2013,CAR,NYJ,30,20
08/12/2013,NO,CAR,31,13
01/12/2013,CAR,TB,27,6
24/11/2013,MIA,CAR,16,20
18/11/2013,CAR,NE,24,20
10/11/2013,SF,CAR,9,10
03/11/2013,CAR,ATL,34,10
24/10/2013,TB,CAR,13,31
20/10/2013,CAR,LAR,30,15
13/10/2013,MIN,CAR,10,35
06/10/2013,ARI,CAR,22,6
22/09/2013,CAR,NYG,38,0
15/09/2013,BUF,CAR,24,23
08/09/2013,CAR,SEA,7,12
30/12/2012,NO,CAR,38,44
23/12/2012,CAR,LV,17,6
16/12/2012,LAC,CAR,7,31
09/12/2012,CAR,ATL,30,20
02/12/2012,KC,CAR,27,21
26/11/2012,PHI,CAR,22,30
18/11/2012,CAR,TB,21,27
11/11/2012,CAR,DEN,14,36
04/11/2012,WSH,CAR,13,21
21/10/2012,CAR,DAL,14,19
07/10/2012,CAR,SEA,12,16
30/09/2012,ATL,CAR,30,28
20/09/2012,CAR,NYG,7,36
16/09/2012,CAR,NO,35,27
09/09/2012,TB,CAR,16,10
01/01/2012,NO,CAR,45,17
24/12/2011,CAR,TB,48,16
18/12/2011,HOU,CAR,13,28
11/12/2011,CAR,ATL,23,31
04/12/2011,TB,CAR,19,38
27/11/2011,IND,CAR,19,27
20/11/2011,DET,CAR,49,35
13/11/2011,CAR,TEN,3,30
30/10/2011,CAR,MIN,21,24
23/10/2011,CAR,WSH,33,20
16/10/2011,ATL,CAR,31,17
09/10/2011,CAR,NO,27,30
25/09/2011,CAR,JAX,16,10
18/09/2011,CAR,GB,23,30
11/09/2011,ARI,CAR,28,21
02/01/2011,ATL,CAR,31,10
19/12/2010,CAR,ARI,19,12
12/12/2010,CAR,ATL,10,31
05/12/2010,SEA,CAR,31,14
28/11/2010,CLE,CAR,24,23
21/11/2010,CAR,BAL,13,37
14/11/2010,TB,CAR,31,16
07/11/2010,CAR,NO,3,34
31/10/2010,LAR,CAR,20,10
24/10/2010,CAR,SF,23,20
