Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
11/11/2009,NY,ATL,101,114,NBA_2010
03/11/2009,POR,ATL,91,97,NBA_2010
01/11/2009,LAL,ATL,118,110,NBA_2010
30/10/2009,ATL,WSH,100,89,NBA_2010
11/05/2009,ATL,CLE,74,84,NBA_2009
09/05/2009,ATL,CLE,82,97,NBA_2009
07/05/2009,CLE,ATL,105,85,NBA_2009
05/05/2009,CLE,ATL,99,72,NBA_2009
03/05/2009,ATL,MIA,91,78,NBA_2009
01/05/2009,MIA,ATL,98,72,NBA_2009
29/04/2009,ATL,MIA,106,91,NBA_2009
27/04/2009,MIA,ATL,71,81,NBA_2009
25/04/2009,MIA,ATL,107,78,NBA_2009
22/04/2009,ATL,MIA,93,108,NBA_2009
19/04/2009,ATL,MIA,90,64,NBA_2009
15/04/2009,MEM,ATL,98,90,NBA_2009
14/04/2009,ATL,MIA,81,79,NBA_2009
08/04/2009,MIL,ATL,105,113,NBA_2009
07/04/2009,TOR,ATL,110,118,NBA_2009
04/04/2009,ATL,ORL,82,88,NBA_2009
03/04/2009,BOS,ATL,104,92,NBA_2009
31/03/2009,PHI,ATL,98,85,NBA_2009
29/03/2009,ATL,LAL,86,76,NBA_2009
27/03/2009,ATL,BOS,93,99,NBA_2009
25/03/2009,ATL,SA,92,102,NBA_2009
23/03/2009,ATL,MIN,109,97,NBA_2009
21/03/2009,CLE,ATL,102,96,NBA_2009
19/03/2009,ATL,DAL,95,87,NBA_2009
15/03/2009,ATL,POR,98,80,NBA_2009
11/03/2009,ATL,UTAH,100,93,NBA_2009
04/03/2009,NY,ATL,109,105,NBA_2009
02/03/2009,WSH,ATL,89,98,NBA_2009
01/03/2009,ATL,CLE,87,88,NBA_2009
27/02/2009,ATL,MIA,91,83,NBA_2009
23/02/2009,UTAH,ATL,108,89,NBA_2009
20/02/2009,POR,ATL,108,98,NBA_2009
17/02/2009,LAL,ATL,96,83,NBA_2009
10/02/2009,ATL,WSH,111,90,NBA_2009
04/02/2009,MIN,ATL,86,94,NBA_2009
31/01/2009,MIL,ATL,110,107,NBA_2009
30/01/2009,ATL,BKN,105,88,NBA_2009
28/01/2009,NY,ATL,112,104,NBA_2009
26/01/2009,MIA,ATL,95,79,NBA_2009
25/01/2009,ATL,PHX,99,104,NBA_2009
23/01/2009,ATL,MIL,117,87,NBA_2009
19/01/2009,ATL,TOR,87,84,NBA_2009
13/01/2009,PHX,ATL,107,102,NBA_2009
11/01/2009,ATL,PHI,94,109,NBA_2009
09/01/2009,ORL,ATL,121,87,NBA_2009
07/01/2009,ATL,ORL,102,106,NBA_2009
03/01/2009,ATL,HOU,103,100,NBA_2009
02/01/2009,BKN,ATL,93,91,NBA_2009
17/12/2008,ATL,BOS,85,88,NBA_2009
13/12/2008,ATL,CLE,97,92,NBA_2009
12/12/2008,MIA,ATL,73,87,NBA_2009
10/12/2008,SA,ATL,95,89,NBA_2009
09/12/2008,HOU,ATL,92,84,NBA_2009
06/12/2008,DAL,ATL,100,98,NBA_2009
05/12/2008,ATL,NY,98,95,NBA_2009
03/12/2008,ATL,MEM,105,95,NBA_2009
29/11/2008,WSH,ATL,98,102,NBA_2009
28/11/2008,TOR,ATL,93,88,NBA_2009
