Date,HomeTeam,AwayTeam,FTHG,FTAG
17/03/2009,TB,TOR,3,4
14/03/2009,FLA,TB,3,4
12/03/2009,TOR,TB,1,4
11/03/2009,OTT,TB,3,2
27/02/2009,VAN,TB,2,1
24/02/2009,EDM,TB,5,3
22/02/2009,TB,BOS,4,3
19/02/2009,TB,NJ,2,3
14/02/2009,TB,WSH,1,5
12/02/2009,TB,TOR,6,4
10/02/2009,TB,WPG,1,3
07/02/2009,TB,NYI,1,0
03/02/2009,NYI,TB,3,1
30/01/2009,TB,PHI,1,6
27/01/2009,TB,MTL,5,3
21/01/2009,TB,BUF,5,3
19/01/2009,TB,DAL,4,2
17/01/2009,TB,FLA,3,4
15/01/2009,TB,PHI,4,1
12/01/2009,LA,TB,1,3
01/01/2009,WSH,TB,7,4
30/12/2008,TB,MTL,1,2
27/12/2008,TB,FLA,6,4
26/12/2008,FLA,TB,3,4
20/12/2008,WPG,TB,4,3
18/12/2008,TB,COL,1,2
13/12/2008,OTT,TB,2,0
11/12/2008,MTL,TB,1,3
10/12/2008,BUF,TB,4,2
08/12/2008,BOS,TB,5,3
06/12/2008,TB,BUF,3,4
04/12/2008,TB,BOS,1,3
02/12/2008,PHI,TB,4,3
29/11/2008,COL,TB,4,3
28/11/2008,MIN,TB,4,2
26/11/2008,TB,NYR,2,3
23/11/2008,TB,NJ,3,7
21/11/2008,TB,NSH,4,1
18/11/2008,TB,FLA,3,4
12/11/2008,FLA,TB,4,0
10/11/2008,WSH,TB,4,2
08/11/2008,PHI,TB,1,2
06/11/2008,NYR,TB,5,2
05/11/2008,NJ,TB,4,3
30/10/2008,BUF,TB,2,5
28/10/2008,TOR,TB,2,3
21/10/2008,TB,WPG,3,2
20/05/2024,VAN,EDM,2,3
18/05/2024,EDM,VAN,5,1
16/05/2024,VAN,EDM,3,2
14/05/2024,EDM,VAN,3,2
12/05/2024,EDM,VAN,3,4
10/05/2024,VAN,EDM,3,4
08/05/2024,VAN,EDM,5,4
03/05/2024,NSH,VAN,0,1
30/04/2024,VAN,NSH,1,2
28/04/2024,NSH,VAN,3,4
26/04/2024,NSH,VAN,1,2
23/04/2024,VAN,NSH,1,4
21/04/2024,VAN,NSH,4,2
18/04/2024,WPG,VAN,4,2
13/04/2024,EDM,VAN,1,3
08/04/2024,VAN,VGK,4,3
02/04/2024,VGK,VAN,6,3
28/03/2024,VAN,DAL,1,3
21/03/2024,VAN,MTL,4,1
19/03/2024,VAN,BUF,3,2
16/03/2024,VAN,WSH,1,2
13/03/2024,VAN,COL,3,4
09/03/2024,VAN,WPG,5,0
07/03/2024,VGK,VAN,1,3
24/02/2024,VAN,BOS,3,2
22/02/2024,SEA,VAN,5,2
20/02/2024,COL,VAN,3,1
19/02/2024,MIN,VAN,10,7
17/02/2024,VAN,WPG,2,4
11/02/2024,WSH,VAN,2,3
08/02/2024,BOS,VAN,4,0
27/01/2024,VAN,CBJ,5,4
20/01/2024,VAN,TOR,6,4
15/01/2024,CBJ,VAN,4,3
13/01/2024,BUF,VAN,0,1
09/01/2024,NYI,VAN,2,5
08/01/2024,NYR,VAN,3,6
06/01/2024,NJ,VAN,4,6
02/01/2024,VAN,OTT,6,3
28/12/2023,VAN,PHI,1,4
21/12/2023,DAL,VAN,4,3
19/12/2023,NSH,VAN,2,5
16/12/2023,MIN,VAN,2,1
14/12/2023,VAN,FLA,4,0
07/12/2023,VAN,MIN,2,0
05/12/2023,VAN,NJ,5,6
30/11/2023,VAN,VGK,1,4
24/11/2023,SEA,VAN,1,5
22/11/2023,COL,VAN,5,2
18/11/2023,VAN,SEA,3,4
15/11/2023,VAN,NYI,4,3
12/11/2023,MTL,VAN,2,5
11/11/2023,TOR,VAN,5,2
09/11/2023,OTT,VAN,2,5
06/11/2023,VAN,EDM,6,2
04/11/2023,VAN,DAL,2,0
31/10/2023,VAN,NSH,5,2
28/10/2023,VAN,NYR,3,4
24/10/2023,NSH,VAN,2,3
21/10/2023,FLA,VAN,3,5
17/10/2023,PHI,VAN,2,0
14/10/2023,EDM,VAN,3,4
11/10/2023,VAN,EDM,8,1
04/04/2023,VAN,SEA,2,5
25/03/2023,DAL,VAN,1,3
21/03/2023,VAN,VGK,3,4
14/03/2023,VAN,DAL,5,2
11/03/2023,VAN,OTT,5,2
06/03/2023,VAN,NSH,4,3
04/03/2023,VAN,TOR,4,1
02/03/2023,VAN,MIN,1,2
27/02/2023,DAL,VAN,4,5
25/02/2023,VAN,BOS,1,3
21/02/2023,NSH,VAN,5,4
18/02/2023,VAN,PHI,6,2
15/02/2023,VAN,NYR,4,6
09/02/2023,NYI,VAN,5,6
08/02/2023,NYR,VAN,4,3
06/02/2023,NJ,VAN,5,4
27/01/2023,VAN,CBJ,5,2
25/01/2023,SEA,VAN,6,1
21/01/2023,VAN,EDM,2,4
20/01/2023,VAN,COL,1,4
14/01/2023,FLA,VAN,4,3
08/01/2023,WPG,VAN,7,4
05/01/2023,VAN,COL,4,2
03/01/2023,VAN,NYI,2,6
29/12/2022,WPG,VAN,4,2
23/12/2022,EDM,VAN,2,5
22/12/2022,VAN,SEA,6,5
17/12/2022,VAN,WPG,1,5
10/12/2022,VAN,MIN,0,3
05/12/2022,VAN,MTL,7,6
01/12/2022,VAN,FLA,1,5
29/11/2022,VAN,WSH,1,5
26/11/2022,VGK,VAN,1,5
23/11/2022,COL,VAN,3,4
21/11/2022,VAN,VGK,4,5
15/11/2022,BUF,VAN,4,5
13/11/2022,BOS,VAN,5,2
12/11/2022,TOR,VAN,3,2
09/11/2022,MTL,VAN,5,2
08/11/2022,OTT,VAN,4,6
05/11/2022,VAN,NSH,3,4
01/11/2022,VAN,NJ,2,5
27/10/2022,SEA,VAN,4,5
22/10/2022,VAN,BUF,1,5
20/10/2022,MIN,VAN,4,3
18/10/2022,CBJ,VAN,4,3
17/10/2022,WSH,VAN,6,4
15/10/2022,PHI,VAN,3,2
12/10/2022,EDM,VAN,5,3
29/04/2022,EDM,VAN,3,2
26/04/2022,VAN,SEA,5,2
21/04/2022,MIN,VAN,6,3
19/04/2022,VAN,OTT,3,4
18/04/2022,VAN,DAL,6,2
12/04/2022,VAN,VGK,5,4
06/04/2022,VGK,VAN,1,5
03/04/2022,VAN,VGK,2,3
26/03/2022,DAL,VAN,1,4
24/03/2022,MIN,VAN,3,2
23/03/2022,COL,VAN,1,3
20/03/2022,VAN,BUF,2,3
15/03/2022,VAN,NJ,6,3
11/03/2022,VAN,WSH,3,4
09/03/2022,VAN,MTL,5,3
05/03/2022,TOR,VAN,4,6
03/03/2022,NYI,VAN,3,4
28/02/2022,NJ,VAN,7,2
27/02/2022,NYR,VAN,2,5
21/02/2022,VAN,SEA,5,2
12/02/2022,VAN,TOR,3,2
09/02/2022,VAN,NYI,3,6
01/02/2022,NSH,VAN,4,2
27/01/2022,WPG,VAN,1,5
25/01/2022,VAN,EDM,2,3
21/01/2022,VAN,FLA,1,2
18/01/2022,NSH,VAN,1,3
16/01/2022,WSH,VAN,2,4
11/01/2022,FLA,VAN,5,2
01/01/2022,SEA,VAN,2,5
14/12/2021,VAN,CBJ,4,3
10/12/2021,VAN,WPG,4,3
08/12/2021,VAN,BOS,2,1
01/12/2021,OTT,VAN,2,6
29/11/2021,MTL,VAN,1,2
28/11/2021,BOS,VAN,3,2
26/11/2021,CBJ,VAN,4,2
19/11/2021,VAN,WPG,3,2
17/11/2021,VAN,COL,2,4
13/11/2021,VGK,VAN,7,4
11/11/2021,COL,VAN,7,1
07/11/2021,VAN,DAL,6,3
05/11/2021,VAN,NSH,2,3
02/11/2021,VAN,NYR,3,2
30/10/2021,VAN,EDM,1,2
28/10/2021,VAN,PHI,1,2
26/10/2021,VAN,MIN,2,3
23/10/2021,SEA,VAN,2,4
19/10/2021,BUF,VAN,5,2
15/10/2021,PHI,VAN,4,5
13/10/2021,EDM,VAN,3,2
15/05/2021,EDM,VAN,1,4
11/05/2021,WPG,VAN,5,0
10/05/2021,WPG,VAN,1,3
08/05/2021,EDM,VAN,4,3
06/05/2021,EDM,VAN,3,6
04/05/2021,VAN,EDM,1,4
03/05/2021,VAN,EDM,3,5
01/05/2021,TOR,VAN,5,1
29/04/2021,TOR,VAN,4,1
28/04/2021,OTT,VAN,6,3
26/04/2021,OTT,VAN,2,1
24/04/2021,VAN,OTT,4,2
22/04/2021,VAN,OTT,0,3
20/04/2021,VAN,TOR,6,3
18/04/2021,VAN,TOR,3,2
24/03/2021,VAN,WPG,1,5
22/03/2021,VAN,WPG,0,4
20/03/2021,MTL,VAN,5,4
19/03/2021,MTL,VAN,2,3
17/03/2021,OTT,VAN,2,3
15/03/2021,OTT,VAN,2,3
13/03/2021,VAN,EDM,2,1
10/03/2021,VAN,MTL,1,5
08/03/2021,VAN,MTL,2,1
06/03/2021,VAN,TOR,4,2
04/03/2021,VAN,TOR,3,1
02/03/2021,WPG,VAN,5,2
01/03/2021,WPG,VAN,0,4
25/02/2021,VAN,EDM,0,3
23/02/2021,VAN,EDM,3,4
21/02/2021,VAN,WPG,3,4
19/02/2021,VAN,WPG,0,2
08/02/2021,TOR,VAN,3,1
06/02/2021,TOR,VAN,5,1
04/02/2021,TOR,VAN,7,3
02/02/2021,MTL,VAN,5,3
01/02/2021,MTL,VAN,6,2
30/01/2021,WPG,VAN,1,4
28/01/2021,VAN,OTT,4,1
27/01/2021,VAN,OTT,5,1
25/01/2021,VAN,OTT,7,1
23/01/2021,VAN,MTL,2,5
21/01/2021,VAN,MTL,3,7
20/01/2021,VAN,MTL,6,5
14/01/2021,EDM,VAN,5,2
13/01/2021,EDM,VAN,3,5
04/09/2020,VGK,VAN,3,0
03/09/2020,VAN,VGK,4,0
01/09/2020,VGK,VAN,1,2
30/08/2020,VAN,VGK,3,5
29/08/2020,VAN,VGK,0,3
25/08/2020,VGK,VAN,2,5
23/08/2020,VGK,VAN,5,0
07/08/2020,MIN,VAN,4,5
06/08/2020,MIN,VAN,0,3
04/08/2020,VAN,MIN,4,3
02/08/2020,VAN,MIN,0,3
29/07/2020,WPG,VAN,4,1
10/03/2020,VAN,NYI,5,4
08/03/2020,VAN,CBJ,1,2
06/03/2020,VAN,COL,6,3
01/03/2020,CBJ,VAN,5,3
29/02/2020,TOR,VAN,4,2
27/02/2020,OTT,VAN,5,2
25/02/2020,MTL,VAN,3,4
22/02/2020,VAN,BOS,9,3
19/02/2020,VAN,MIN,3,4
10/02/2020,VAN,NSH,6,2
06/02/2020,MIN,VAN,4,2
04/02/2020,BOS,VAN,4,0
01/02/2020,NYI,VAN,3,4
14/01/2020,WPG,VAN,4,0
12/01/2020,MIN,VAN,1,4
11/01/2020,BUF,VAN,3,6
09/01/2020,FLA,VAN,5,2
04/01/2020,VAN,NYR,2,1
23/12/2019,VAN,EDM,4,2
19/12/2019,VAN,VGK,5,4
17/12/2019,VAN,MTL,1,3
15/12/2019,VGK,VAN,6,3
10/12/2019,VAN,TOR,1,4
07/12/2019,VAN,BUF,6,5
03/12/2019,VAN,OTT,5,2
01/12/2019,VAN,EDM,2,3
30/11/2019,EDM,VAN,2,5
25/11/2019,PHI,VAN,2,1
23/11/2019,WSH,VAN,1,2
21/11/2019,NSH,VAN,3,6
19/11/2019,DAL,VAN,6,1
16/11/2019,VAN,COL,4,5
14/11/2019,VAN,DAL,2,4
12/11/2019,VAN,NSH,5,3
10/11/2019,VAN,NJ,1,2
08/11/2019,WPG,VAN,4,1
28/10/2019,VAN,FLA,7,2
25/10/2019,VAN,WSH,5,6
20/10/2019,NYR,VAN,2,3
19/10/2019,NJ,VAN,1,0
12/10/2019,VAN,PHI,3,2
02/10/2019,EDM,VAN,3,2
04/04/2019,NSH,VAN,3,2
30/03/2019,VAN,DAL,3,2
24/03/2019,VAN,CBJ,0,5
20/03/2019,VAN,OTT,7,4
17/03/2019,DAL,VAN,2,3
15/03/2019,VAN,NJ,2,3
13/03/2019,VAN,NYR,4,1
09/03/2019,VAN,VGK,2,6
07/03/2019,EDM,VAN,3,2
06/03/2019,VAN,TOR,3,2
03/03/2019,VGK,VAN,3,0
27/02/2019,COL,VAN,3,2
23/02/2019,VAN,NYI,0,4
05/02/2019,WSH,VAN,3,2
04/02/2019,PHI,VAN,2,1
02/02/2019,COL,VAN,1,5
18/01/2019,VAN,BUF,4,3
16/01/2019,VAN,EDM,2,3
13/01/2019,VAN,FLA,5,1
05/01/2019,TOR,VAN,5,0
03/01/2019,MTL,VAN,2,0
02/01/2019,OTT,VAN,3,4
31/12/2018,NJ,VAN,4,0
27/12/2018,EDM,VAN,2,4
22/12/2018,VAN,WPG,0,1
16/12/2018,VAN,EDM,4,2
15/12/2018,VAN,PHI,5,1
13/12/2018,NSH,VAN,4,3
11/12/2018,CBJ,VAN,2,3
06/12/2018,VAN,NSH,5,3
04/12/2018,VAN,MIN,2,3
01/12/2018,VAN,DAL,1,2
29/11/2018,VAN,VGK,3,4
19/11/2018,VAN,WPG,3,6
17/11/2018,VAN,MTL,2,3
15/11/2018,MIN,VAN,6,2
13/11/2018,NYI,VAN,5,2
12/11/2018,NYR,VAN,2,1
10/11/2018,BUF,VAN,4,3
08/11/2018,BOS,VAN,5,8
02/11/2018,VAN,COL,7,6
29/10/2018,VAN,MIN,5,2
24/10/2018,VGK,VAN,2,3
22/10/2018,VAN,WSH,2,5
20/10/2018,VAN,BOS,2,1
18/10/2018,WPG,VAN,4,1
13/10/2018,FLA,VAN,2,3
07/04/2018,EDM,VAN,3,2
03/04/2018,VAN,VGK,4,5
31/03/2018,VAN,CBJ,5,4
29/03/2018,VAN,EDM,2,1
25/03/2018,DAL,VAN,1,4
20/03/2018,VGK,VAN,4,1
09/03/2018,VAN,MIN,2,5
05/03/2018,VAN,NYI,4,3
02/03/2018,VAN,NSH,3,4
28/02/2018,VAN,NYR,5,6
26/02/2018,COL,VAN,3,1
23/02/2018,VGK,VAN,6,3
20/02/2018,VAN,COL,4,5
17/02/2018,VAN,BOS,6,1
14/02/2018,VAN,FLA,3,4
11/02/2018,DAL,VAN,0,6
06/02/2018,FLA,VAN,3,1
30/01/2018,VAN,COL,4,3
25/01/2018,VAN,BUF,0,4
21/01/2018,WPG,VAN,1,0
20/01/2018,EDM,VAN,5,2
14/01/2018,MIN,VAN,2,3
12/01/2018,CBJ,VAN,2,5
09/01/2018,WSH,VAN,3,1
07/01/2018,MTL,VAN,5,2
06/01/2018,TOR,VAN,3,2
19/12/2017,VAN,MTL,5,7
13/12/2017,VAN,NSH,1,7
11/12/2017,WPG,VAN,5,1
07/12/2017,VAN,PHI,1,4
02/12/2017,VAN,TOR,2,1
30/11/2017,NSH,VAN,3,5
28/11/2017,NYI,VAN,5,2
26/11/2017,NYR,VAN,4,3
24/11/2017,NJ,VAN,3,2
21/11/2017,PHI,VAN,2,5
16/11/2017,VAN,VGK,2,5
01/11/2017,VAN,NJ,0,2
30/10/2017,VAN,DAL,1,2
26/10/2017,VAN,WSH,6,2
24/10/2017,MIN,VAN,0,1
20/10/2017,BUF,VAN,2,4
19/10/2017,BOS,VAN,6,3
17/10/2017,OTT,VAN,0,3
12/10/2017,VAN,WPG,2,4
10/10/2017,VAN,OTT,2,3
07/10/2017,VAN,EDM,3,2
09/04/2017,EDM,VAN,5,2
08/04/2017,VAN,EDM,2,3
26/03/2017,WPG,VAN,2,1
25/03/2017,MIN,VAN,2,4
18/03/2017,EDM,VAN,2,0
16/03/2017,VAN,DAL,2,4
13/03/2017,VAN,BOS,3,6
09/03/2017,VAN,NYI,3,4
07/03/2017,VAN,MTL,1,2
19/02/2017,VAN,PHI,2,3
12/02/2017,BUF,VAN,2,4
11/02/2017,BOS,VAN,4,3
09/02/2017,CBJ,VAN,0,3
07/02/2017,NSH,VAN,4,2
04/02/2017,VAN,MIN,3,6
25/01/2017,COL,VAN,2,3
20/01/2017,VAN,FLA,2,1
17/01/2017,VAN,NSH,1,0
15/01/2017,VAN,NJ,1,2
12/01/2017,PHI,VAN,5,4
10/01/2017,NSH,VAN,2,1
02/01/2017,VAN,COL,3,2
31/12/2016,EDM,VAN,2,3
22/12/2016,VAN,WPG,1,4
20/12/2016,VAN,WPG,4,1
18/12/2016,VAN,CBJ,3,4
11/12/2016,WSH,VAN,3,0
10/12/2016,FLA,VAN,4,2
06/12/2016,NJ,VAN,3,2
03/12/2016,VAN,TOR,3,2
29/11/2016,VAN,MIN,5,4
26/11/2016,COL,VAN,2,3
