team,index,game_url
BOS,1486,usa/nhl-2008-2009/montreal-canadiens-boston-bruins-2sCqXwTb/#home-away;1
BOS,1487,usa/nhl-2008-2009/minnesota-wild-boston-bruins-j3W1pI1f/#home-away;1
BOS,1493,usa/nhl-2007-2008/boston-bruins-montreal-canadiens-U51sAbKK/#home-away;1
BOS,1495,usa/nhl-2007-2008/montreal-canadiens-boston-bruins-0CYeb1L8/#home-away;1
BOS,1497,usa/nhl-2007-2008/new-jersey-devils-boston-bruins-APOC8jG3/#home-away;1
BOS,1503,usa/nhl-2007-2008/boston-bruins-montreal-canadiens-YkMZlTfm/#home-away;1
BOS,1509,usa/nhl-2007-2008/boston-bruins-washington-capitals-K2lpT2uc/#home-away;1
BOS,1513,usa/nhl-2007-2008/boston-bruins-winnipeg-jets-CzYweITD/#home-away;1
BOS,1517,usa/nhl-2007-2008/florida-panthers-boston-bruins-C0uyINE5/#home-away;1
BOS,1518,usa/nhl-2007-2008/carolina-hurricanes-boston-bruins-jTJM2i91/#home-away;1
BOS,1522,usa/nhl-2007-2008/boston-bruins-florida-panthers-YFROU6cI/#home-away;1
BOS,1533,usa/nhl-2007-2008/philadelphia-flyers-boston-bruins-fB3yAvtl/#home-away;1
BOS,1535,usa/nhl-2007-2008/boston-bruins-carolina-hurricanes-8G8qiQZ8/#home-away;1
BOS,1545,usa/nhl-2007-2008/boston-bruins-new-jersey-devils-MT7g89iH/#home-away;1
BOS,1548,usa/nhl-2007-2008/toronto-maple-leafs-boston-bruins-dWJFSurG/#home-away;1
BOS,1556,usa/nhl-2007-2008/boston-bruins-new-york-islanders-tKsHzGDe/#home-away;1
BOS,1559,usa/nhl-2007-2008/boston-bruins-toronto-maple-leafs-SxmQHOTc/#home-away;1
BOS,1563,usa/nhl-2007-2008/boston-bruins-ottawa-senators-xQukKdYb/#home-away;1
BOS,1571,usa/nhl-2007-2008/san-jose-sharks-boston-bruins-Qmu9t9TH/#home-away;1
BOS,1576,usa/nhl-2006-2007/boston-bruins-ottawa-senators-p25DxbNa/#home-away;1
BOS,1578,usa/nhl-2006-2007/montreal-canadiens-boston-bruins-lzC4vKhm/#home-away;1
BOS,1581,usa/nhl-2006-2007/boston-bruins-pittsburgh-penguins-SfA51y9K/#home-away;1
BOS,1583,usa/nhl-2006-2007/pittsburgh-penguins-boston-bruins-YyR2sGHl/#home-away;1
BOS,1595,usa/nhl-2006-2007/boston-bruins-philadelphia-flyers-ddcCttW1/#home-away;1
BOS,1599,usa/nhl-2006-2007/toronto-maple-leafs-boston-bruins-x2odDsfl/#home-away;1
BOS,1605,usa/nhl-2006-2007/boston-bruins-carolina-hurricanes-xEq19GmF/#home-away;1
BOS,1610,usa/nhl-2006-2007/boston-bruins-new-york-rangers-0fVKuoTH/#home-away;1
BOS,1613,usa/nhl-2006-2007/boston-bruins-pittsburgh-penguins-vLIUUTEa/#home-away;1
BOS,1615,usa/nhl-2006-2007/boston-bruins-buffalo-sabres-4WFrbBlp/#home-away;1
BOS,1625,usa/nhl-2006-2007/boston-bruins-montreal-canadiens-l0wi8eCi/#home-away;1
BOS,1628,usa/nhl-2006-2007/boston-bruins-florida-panthers-UFnZUEd9/#home-away;1
BOS,1630,usa/nhl-2006-2007/boston-bruins-new-jersey-devils-IgY7Ip7n/#home-away;1
BOS,1632,usa/nhl-2006-2007/montreal-canadiens-boston-bruins-Gj7Z7R0B/#home-away;1
BOS,1634,usa/nhl-2006-2007/boston-bruins-tampa-bay-lightning-x6cvjbCD/#home-away;1
BOS,1635,usa/nhl-2006-2007/toronto-maple-leafs-boston-bruins-x08V87o5/#home-away;1
BOS,1636,usa/nhl-2006-2007/toronto-maple-leafs-boston-bruins-UZ4NATGh/#home-away;1
BOS,1653,usa/nhl-2006-2007/winnipeg-jets-boston-bruins-dG3Evekf/#home-away;1
BOS,1654,usa/nhl-2006-2007/tampa-bay-lightning-boston-bruins-QRPVnJsE/#home-away;1
BOS,1663,usa/nhl-2005-2006/boston-bruins-florida-panthers-IX8iCk6t/#home-away;1
BOS,1664,usa/nhl-2005-2006/boston-bruins-buffalo-sabres-IJTIcjim/#home-away;1
