Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
21/09/2021,CIN,PIT,2,6,MLB_2021
20/09/2021,CIN,PIT,9,5,MLB_2021
19/09/2021,MIA,PIT,6,5,MLB_2021
18/09/2021,MIA,PIT,3,6,MLB_2021
17/09/2021,MIA,PIT,1,2,MLB_2021
16/09/2021,PIT,CIN,0,1,MLB_2021
15/09/2021,PIT,CIN,5,4,MLB_2021
14/09/2021,PIT,CIN,6,5,MLB_2021
12/09/2021,PIT,WSH,2,6,MLB_2021
11/09/2021,PIT,WSH,10,7,MLB_2021
10/09/2021,PIT,WSH,4,3,MLB_2021
08/09/2021,PIT,DET,1,5,MLB_2021
07/09/2021,PIT,DET,3,2,MLB_2021
06/09/2021,PIT,DET,6,3,MLB_2021
05/09/2021,CHC,PIT,11,8,MLB_2021
04/09/2021,CHC,PIT,7,6,MLB_2021
03/09/2021,CHC,PIT,6,5,MLB_2021
02/09/2021,CHC,PIT,6,5,MLB_2021
01/09/2021,CHW,PIT,6,3,MLB_2021
31/08/2021,CHW,PIT,4,2,MLB_2021
29/08/2021,PIT,STL,4,3,MLB_2021
28/08/2021,PIT,STL,0,13,MLB_2021
27/08/2021,PIT,STL,3,4,MLB_2021
26/08/2021,PIT,STL,11,7,MLB_2021
25/08/2021,PIT,ARI,2,5,MLB_2021
24/08/2021,PIT,ARI,4,2,MLB_2021
23/08/2021,PIT,ARI,6,5,MLB_2021
22/08/2021,STL,PIT,3,0,MLB_2021
21/08/2021,STL,PIT,4,5,MLB_2021
20/08/2021,STL,PIT,0,4,MLB_2021
18/08/2021,LAD,PIT,9,0,MLB_2021
17/08/2021,LAD,PIT,4,3,MLB_2021
16/08/2021,LAD,PIT,2,1,MLB_2021
15/08/2021,PIT,MIL,1,2,MLB_2021
14/08/2021,PIT,MIL,0,6,MLB_2021
14/08/2021,PIT,MIL,14,4,MLB_2021
12/08/2021,PIT,STL,6,7,MLB_2021
11/08/2021,PIT,STL,0,4,MLB_2021
10/08/2021,PIT,STL,1,4,MLB_2021
08/08/2021,CIN,PIT,3,2,MLB_2021
07/08/2021,CIN,PIT,11,3,MLB_2021
06/08/2021,CIN,PIT,10,0,MLB_2021
05/08/2021,CIN,PIT,7,4,MLB_2021
04/08/2021,MIL,PIT,4,2,MLB_2021
03/08/2021,MIL,PIT,5,8,MLB_2021
02/08/2021,MIL,PIT,6,2,MLB_2021
01/08/2021,PIT,PHI,4,15,MLB_2021
31/07/2021,PIT,PHI,3,2,MLB_2021
30/07/2021,PIT,PHI,7,0,MLB_2021
29/07/2021,PIT,MIL,0,12,MLB_2021
28/07/2021,PIT,MIL,3,7,MLB_2021
27/07/2021,PIT,MIL,0,9,MLB_2021
25/07/2021,SF,PIT,6,1,MLB_2021
24/07/2021,SF,PIT,2,10,MLB_2021
23/07/2021,SF,PIT,4,6,MLB_2021
21/07/2021,ARI,PIT,6,4,MLB_2021
20/07/2021,ARI,PIT,11,6,MLB_2021
19/07/2021,ARI,PIT,4,2,MLB_2021
18/07/2021,PIT,NYM,6,7,MLB_2021
17/07/2021,PIT,NYM,9,7,MLB_2021
16/07/2021,PIT,NYM,4,1,MLB_2021
11/07/2021,NYM,PIT,5,6,MLB_2021
10/07/2021,NYM,PIT,4,2,MLB_2021
10/07/2021,NYM,PIT,2,6,MLB_2021
09/07/2021,NYM,PIT,13,4,MLB_2021
07/07/2021,PIT,ATL,3,14,MLB_2021
06/07/2021,PIT,ATL,2,1,MLB_2021
05/07/2021,PIT,ATL,11,1,MLB_2021
04/07/2021,PIT,MIL,2,0,MLB_2021
03/07/2021,PIT,MIL,2,11,MLB_2021
02/07/2021,PIT,MIL,2,7,MLB_2021
01/07/2021,PIT,MIL,2,7,MLB_2021
30/06/2021,COL,PIT,6,2,MLB_2021
29/06/2021,COL,PIT,8,0,MLB_2021
28/06/2021,COL,PIT,2,0,MLB_2021
27/06/2021,STL,PIT,2,7,MLB_2021
26/06/2021,STL,PIT,3,1,MLB_2021
25/06/2021,STL,PIT,4,5,MLB_2021
24/06/2021,STL,PIT,2,8,MLB_2021
23/06/2021,PIT,CHW,3,4,MLB_2021
22/06/2021,PIT,CHW,6,3,MLB_2021
20/06/2021,PIT,CLE,1,2,MLB_2021
19/06/2021,PIT,CLE,6,3,MLB_2021
18/06/2021,PIT,CLE,11,10,MLB_2021
16/06/2021,WSH,PIT,3,1,MLB_2021
15/06/2021,WSH,PIT,8,1,MLB_2021
14/06/2021,WSH,PIT,3,2,MLB_2021
13/06/2021,MIL,PIT,5,2,MLB_2021
12/06/2021,MIL,PIT,7,4,MLB_2021
11/06/2021,MIL,PIT,7,4,MLB_2021
10/06/2021,PIT,LAD,3,6,MLB_2021
09/06/2021,PIT,LAD,1,2,MLB_2021
08/06/2021,PIT,LAD,3,5,MLB_2021
06/06/2021,PIT,MIA,1,3,MLB_2021
05/06/2021,PIT,MIA,8,7,MLB_2021
04/06/2021,PIT,MIA,9,2,MLB_2021
03/06/2021,PIT,MIA,5,3,MLB_2021
01/06/2021,KC,PIT,10,5,MLB_2021
31/05/2021,KC,PIT,7,3,MLB_2021
30/05/2021,PIT,COL,3,4,MLB_2021
29/05/2021,PIT,COL,4,0,MLB_2021
29/05/2021,PIT,COL,7,0,MLB_2021
