Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,home_rating,away_rating
26/02/2019,VGK,DAL,4,1,NHL_2019,0.03030677402577613,0.03060860872622708
22/02/2019,VGK,WPG,3,6,NHL_2019,0.03135083676032623,0.042182247083088945
20/02/2019,VGK,BOS,2,3,NHL_2019,0.032205358027822185,0.040854722811856425
18/02/2019,COL,VGK,3,0,NHL_2019,0.020969012976239168,0.03363257049178804
14/02/2019,VGK,TOR,3,6,NHL_2019,0.033412150328909776,0.04976880991760454
09/02/2019,VGK,CBJ,3,4,NHL_2019,0.03618821231921669,0.0377421471137555
02/02/2019,FLA,VGK,3,1,NHL_2019,0.021128494737439284,0.03486099052629965
21/01/2019,VGK,MIN,2,4,NHL_2019,0.039296412729224586,0.028381960973366475
15/01/2019,WPG,VGK,4,1,NHL_2019,0.05000902704148298,0.038755756807132793
08/01/2019,VGK,NYR,4,2,NHL_2019,0.03815469029064634,0.020540238687578836
06/01/2019,VGK,NJ,3,2,NHL_2019,0.03696997357216389,0.021433488885149992
27/12/2018,VGK,COL,2,1,NHL_2019,0.030305101198357474,0.03340813874884966
22/12/2018,VGK,MTL,3,4,NHL_2019,0.034447678431370726,0.029561115183025163
20/12/2018,VGK,NYI,4,2,NHL_2019,0.03269959255247664,0.03004711255435335
17/12/2018,CBJ,VGK,1,0,NHL_2019,0.03067267488413462,0.03419014103633524
16/12/2018,NYR,VGK,3,4,NHL_2019,0.023692692258874402,0.03251124970626908
14/12/2018,NJ,VGK,5,4,NHL_2019,0.01599624076233685,0.03491360275628793
12/12/2018,NYI,VGK,2,3,NHL_2019,0.025634120054410143,0.03315208047707307
09/12/2018,VGK,DAL,4,2,NHL_2019,0.03054163765997963,0.03860097325330864
04/12/2018,VGK,WSH,5,3,NHL_2019,0.0289175649888693,0.03805846425353125
01/12/2018,EDM,VGK,2,1,NHL_2019,0.02792747180523508,0.031620417862545804
18/11/2018,EDM,VGK,3,6,NHL_2019,0.029142505134698512,0.01891601797191697
11/11/2018,BOS,VGK,4,1,NHL_2019,0.04145854581232954,0.020377735508310107
10/11/2018,MTL,VGK,5,4,NHL_2019,0.026378737870022005,0.02178307303341671
08/11/2018,OTT,VGK,3,5,NHL_2019,0.018600200156221332,0.018173753611940915
06/11/2018,TOR,VGK,3,1,NHL_2019,0.04497817296026395,0.019175296154348043
28/10/2018,VGK,OTT,4,3,NHL_2019,0.018130252038760977,0.022070923542126166
13/10/2018,PHI,VGK,0,1,NHL_2019,0.008355270845822525,0.002526704466957963
10/10/2018,WSH,VGK,5,2,NHL_2019,0.04541181205033077,0.00010356101468327424
06/10/2018,MIN,VGK,1,2,NHL_2019,0.0,0.0
04/10/2018,VGK,PHI,2,5,NHL_2019,,
07/06/2018,VGK,WSH,3,4,NHL_2018,0.0549506156547374,0.05059840832379171
04/06/2018,WSH,VGK,6,2,NHL_2018,0.04952507481146217,0.056197524166112005
02/06/2018,WSH,VGK,3,1,NHL_2018,0.04843109778673733,0.057532387970004054
30/05/2018,VGK,WSH,2,3,NHL_2018,0.05896471293454984,0.047315951839428654
28/05/2018,VGK,WSH,6,4,NHL_2018,0.05776124607866573,0.048249388715819484
20/05/2018,WPG,VGK,1,2,NHL_2018,0.05430791906956816,0.056514543928314204
18/05/2018,VGK,WPG,3,2,NHL_2018,0.05530569986688107,0.055492082775768926
16/05/2018,VGK,WPG,4,2,NHL_2018,0.054071333102590144,0.05675732748358872
14/05/2018,WPG,VGK,1,3,NHL_2018,0.05811240853727641,0.05281056881799143
12/05/2018,WPG,VGK,4,2,NHL_2018,0.05681756594701698,0.054005753416754475
05/04/2018,EDM,VGK,4,3,NHL_2018,0.02224780766323099,0.05245515312676583
26/03/2018,VGK,COL,4,1,NHL_2018,0.04993928508160105,0.036665651730139755
24/03/2018,COL,VGK,2,1,NHL_2018,0.03546808688016672,0.051632137472802354
16/03/2018,VGK,MIN,2,4,NHL_2018,0.05366789625364337,0.03769483531190248
14/03/2018,VGK,NJ,3,8,NHL_2018,0.0559428430859163,0.029723746567047078
12/03/2018,PHI,VGK,2,3,NHL_2018,0.03009691197021053,0.05471678752792341
06/03/2018,CBJ,VGK,4,1,NHL_2018,0.02971675741482809,0.05543404667323799
04/03/2018,NJ,VGK,2,3,NHL_2018,0.029236994585867884,0.054132615762230364
02/03/2018,VGK,OTT,4,5,NHL_2018,0.05691570503502466,0.015380110811799927
17/02/2018,VGK,MTL,6,3,NHL_2018,0.06127182647871536,0.017571066805379065
15/02/2018,VGK,EDM,4,1,NHL_2018,0.06002111437189851,0.02150266027429774
11/02/2018,VGK,PHI,1,4,NHL_2018,0.061963930523039994,0.027319560839372762
04/02/2018,WSH,VGK,3,4,NHL_2018,0.04138173799223289,0.061251537254935415
02/02/2018,MIN,VGK,5,2,NHL_2018,0.03625581397351995,0.06472071847472291
01/02/2018,WPG,VGK,2,3,NHL_2018,0.04306391461752684,0.06267124562508862
25/01/2018,VGK,NYI,1,2,NHL_2018,0.06425639951676457,0.02872781996270317
23/01/2018,VGK,CBJ,6,3,NHL_2018,0.06203412760046359,0.03514555374308546
19/01/2018,FLA,VGK,4,3,NHL_2018,0.02148557436363942,0.06413060137827921
13/01/2018,VGK,EDM,2,3,NHL_2018,0.0707832474343473,0.021590347268839478
07/01/2018,VGK,NYR,2,1,NHL_2018,0.06854317502627859,0.03296110547183937
31/12/2017,VGK,TOR,6,3,NHL_2018,0.06397818224289623,0.03984005589042755
23/12/2017,VGK,WSH,3,0,NHL_2018,0.053542975234653775,0.04450962400913836
17/12/2017,VGK,FLA,5,2,NHL_2018,0.04567158193038002,0.01847869379626429
09/12/2017,DAL,VGK,3,5,NHL_2018,0.033374458848147076,0.045300928037975724
01/12/2017,WPG,VGK,7,4,NHL_2018,0.04340307428061761,0.04217788185245348
30/11/2017,MIN,VGK,4,2,NHL_2018,0.02477391729272063,0.04715551284962817
28/11/2017,VGK,DAL,0,3,NHL_2018,0.05233815905474243,0.03001676670765433
14/11/2017,EDM,VGK,8,2,NHL_2018,0.0152873899319743,0.03614721359378478
10/11/2017,VGK,WPG,5,2,NHL_2018,0.03204937486093692,0.034839147695002265
07/11/2017,MTL,VGK,3,2,NHL_2018,0.01721330584038292,0.04154891084145738
06/11/2017,TOR,VGK,4,3,NHL_2018,0.03412857961260185,0.04927873702699015
04/11/2017,OTT,VGK,4,5,NHL_2018,0.02261538682823729,0.03807743445059196
02/11/2017,BOS,VGK,2,1,NHL_2018,0.014874910307097993,0.04942378415574248
31/10/2017,NYR,VGK,6,4,NHL_2018,0.006430992708449199,0.08471943856715927
30/10/2017,NYI,VGK,6,3,NHL_2018,0.021437657122994464,0.13374654364727562
27/10/2017,VGK,COL,7,0,NHL_2018,0.09604469256488071,0.021538241337910182
15/10/2017,VGK,BOS,3,1,NHL_2018,0.03307020536613839,0.009980433682316719
06/10/2017,DAL,VGK,1,2,NHL_2018,,
01/06/2024,FLA,NYR,2,1,NHL_2024,0.055285366065381675,0.06170716130992765
30/05/2024,NYR,FLA,2,3,NHL_2024,0.0631928612471811,0.0540173730397314
28/05/2024,FLA,NYR,3,2,NHL_2024,0.05272277781097107,0.06478912621065017
26/05/2024,FLA,NYR,4,5,NHL_2024,0.05382457457187266,0.06342828155996545
24/05/2024,NYR,FLA,2,1,NHL_2024,0.06203714014293952,0.05500281377736251
22/05/2024,NYR,FLA,0,3,NHL_2024,0.06368734339602192,0.05361380936613952
28/04/2024,WSH,NYR,2,4,NHL_2024,0.026451227669085267,0.0608428264410377
26/04/2024,WSH,NYR,1,3,NHL_2024,0.026820646880507386,0.05985356074869749
23/04/2024,NYR,WSH,4,3,NHL_2024,0.05891148177167958,0.027243218350330233
21/04/2024,NYR,WSH,4,1,NHL_2024,0.057981571240980294,0.027708467460304923
15/04/2024,NYR,OTT,4,0,NHL_2024,0.056958215264709955,0.023461021792270827
13/04/2024,NYR,NYI,3,2,NHL_2024,0.05610279445363066,0.025536249032246
11/04/2024,NYR,PHI,1,4,NHL_2024,0.05825386191260686,0.023985218006832138
09/04/2024,NYI,NYR,4,2,NHL_2024,0.024008567956039464,0.060688275466448435
07/04/2024,NYR,MTL,5,2,NHL_2024,0.06007653369063702,0.018002033018154777
03/04/2024,NYR,NJ,4,3,NHL_2024,0.05788973812370376,0.026123212085198928
28/03/2024,COL,NYR,2,3,NHL_2024,0.04853405835650637,0.05771742177761244
26/03/2024,NYR,PHI,6,5,NHL_2024,0.05640952272283555,0.02934904279680956
23/03/2024,NYR,FLA,4,3,NHL_2024,0.05458411740626561,0.05368006548895635
21/03/2024,BOS,NYR,2,5,NHL_2024,0.03922345237738699,0.053189529690705846
19/03/2024,NYR,WPG,2,4,NHL_2024,0.05524775181649564,0.049408058350841486
17/03/2024,NYR,NYI,5,2,NHL_2024,0.054248127550219134,0.022278128854017167
11/03/2024,NYR,NJ,3,1,NHL_2024,0.05259500096432189,0.026458193641158586
04/03/2024,NYR,FLA,2,4,NHL_2024,0.0529046501023045,0.05726180796789651
02/03/2024,TOR,NYR,4,3,NHL_2024,0.03827625230644463,0.05545589240625466
28/02/2024,NYR,CBJ,4,1,NHL_2024,0.05453850549613429,0.014490946382207773
25/02/2024,CBJ,NYR,4,2,NHL_2024,0.013617164142331876,0.05797553274588965
24/02/2024,PHI,NYR,1,2,NHL_2024,0.032124229032511005,0.05642036625577116
22/02/2024,NJ,NYR,1,5,NHL_2024,0.02903723805472533,0.05463144648968446
20/02/2024,NYR,DAL,3,1,NHL_2024,0.05265119691321673,0.045554396713703156
18/02/2024,NYI,NYR,5,6,NHL_2024,0.020224401334811053,0.051270280756405884
15/02/2024,NYR,MTL,7,4,NHL_2024,0.050045689279036035,0.019625605108652102
05/02/2024,NYR,COL,2,1,NHL_2024,0.044188437796441,0.050636146908347536
27/01/2024,OTT,NYR,2,7,NHL_2024,0.020300616179870164,0.04289075069553277
20/01/2024,LA,NYR,2,1,NHL_2024,0.029511682570609165,0.05076149054388863
16/01/2024,NYR,SEA,5,2,NHL_2024,0.05145079205794827,0.023286427984066653
14/01/2024,NYR,WSH,2,1,NHL_2024,0.049275960478913645,0.026346500012820403
13/01/2024,WSH,NYR,3,2,NHL_2024,0.02469719994237957,0.052530069043859116
06/01/2024,MTL,NYR,4,3,NHL_2024,0.019946304411922293,0.06673510161220704
29/12/2023,FLA,NYR,4,3,NHL_2024,0.03801413143063655,0.07507938868550204
27/12/2023,NYR,WSH,5,1,NHL_2024,0.07181322712064826,0.031328285179200395
22/12/2023,NYR,EDM,3,4,NHL_2024,0.07864563366395264,0.025992968450447837
19/12/2023,TOR,NYR,2,5,NHL_2024,0.035832551362276664,0.07410029068363129
16/12/2023,BOS,NYR,1,2,NHL_2024,0.05397314157890254,0.0696187321419901
12/12/2023,NYR,TOR,3,7,NHL_2024,0.07362747282190729,0.0347177751590682
10/12/2023,NYR,LA,4,1,NHL_2024,0.06696808939265218,0.06191624651021347
09/12/2023,WSH,NYR,4,0,NHL_2024,0.026901651086667235,0.07799103301810609
05/12/2023,OTT,NYR,6,2,NHL_2024,0.022193733014357574,0.09245871167184332
25/11/2023,NYR,BOS,7,4,NHL_2024,0.07769053938677137,0.0725742872769464
24/11/2023,PHI,NYR,1,3,NHL_2024,0.027550413293444934,0.06734789682935814
20/11/2023,DAL,NYR,6,3,NHL_2024,0.06157614144437541,0.0708970407656964
18/11/2023,NJ,NYR,3,5,NHL_2024,0.025591306817949327,0.06165335851004704
12/11/2023,NYR,CBJ,4,3,NHL_2024,0.05665468243007365,0.009336284973906322
09/11/2023,NYR,MIN,4,1,NHL_2024,0.051202614122197045,0.012677186101236361
04/11/2023,MIN,NYR,5,4,NHL_2024,0.005662120953335289,0.04940391741530297
30/10/2023,WPG,NYR,2,3,NHL_2024,0.01713936236738921,0.03575878222775923
26/10/2023,EDM,NYR,0,3,NHL_2024,0.0016592890903801888,0.01178481646694697
21/10/2023,SEA,NYR,1,4,NHL_2024,0.003014879571365221,0.006233108874458389
14/10/2023,CBJ,NYR,5,3,NHL_2024,0.0,0.02821118144905121
