date,team_1,score_1,score_2,team_2,game_url
25/Apr,Philadelphia 76ers,125,114,New York Knicks,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-KQKMGlzJ/
22/Apr,New York Knicks,104,101,Philadelphia 76ers,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-ObRDIA56/
20/Apr,New York Knicks,111,104,Philadelphia 76ers,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-QNFGHB8a/
12/Apr,New York Knicks,111,107,Brooklyn Nets,usa/nba-2023-2024/new-york-knicks-brooklyn-nets-veZXEdiH/
31/Mar,New York Knicks,112,113,Oklahoma City Thunder,usa/nba-2023-2024/new-york-knicks-oklahoma-city-thunder-6kkCD7aD/
29/Mar,San Antonio Spurs,130,126,New York Knicks,usa/nba-2023-2024/san-antonio-spurs-new-york-knicks-0OWQ1A01/
27/Mar,Toronto Raptors,101,145,New York Knicks,usa/nba-2023-2024/toronto-raptors-new-york-knicks-8pAwms30/
25/Mar,New York Knicks,124,99,Detroit Pistons,usa/nba-2023-2024/new-york-knicks-detroit-pistons-2DphadN5/
23/Mar,New York Knicks,105,93,Brooklyn Nets,usa/nba-2023-2024/new-york-knicks-brooklyn-nets-AewSfsWJ/
21/Mar,Denver Nuggets,113,100,New York Knicks,usa/nba-2023-2024/denver-nuggets-new-york-knicks-lQ0esO1K/
18/Mar,Golden State Warriors,112,119,New York Knicks,usa/nba-2023-2024/golden-state-warriors-new-york-knicks-hMXUUgCc/
14/Mar,Portland Trail Blazers,93,105,New York Knicks,usa/nba-2023-2024/portland-trail-blazers-new-york-knicks-ptbLcko8/
12/Mar,New York Knicks,106,79,Philadelphia 76ers,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-pW2m77RJ/
10/Mar,New York Knicks,73,79,Philadelphia 76ers,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-dA0NVp5D/
08/Mar,New York Knicks,98,74,Orlando Magic,usa/nba-2023-2024/new-york-knicks-orlando-magic-bsu8wx7M/
29/Feb,New York Knicks,99,110,Golden State Warriors,usa/nba-2023-2024/new-york-knicks-golden-state-warriors-ITOJlpg2/
27/Feb,New York Knicks,92,115,New Orleans Pelicans,usa/nba-2023-2024/new-york-knicks-new-orleans-pelicans-Q984qkHM/
26/Feb,New York Knicks,113,111,Detroit Pistons,usa/nba-2023-2024/new-york-knicks-detroit-pistons-xj7TsxtI/
22/Feb,Philadelphia 76ers,96,110,New York Knicks,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-M5LM74bl/
14/Feb,Orlando Magic,118,100,New York Knicks,usa/nba-2023-2024/orlando-magic-new-york-knicks-GtreGyoi/
12/Feb,Houston Rockets,105,103,New York Knicks,usa/nba-2023-2024/houston-rockets-new-york-knicks-dMM6py1N/
10/Feb,New York Knicks,111,125,Indiana Pacers,usa/nba-2023-2024/new-york-knicks-indiana-pacers-l688ZNY0/
08/Feb,New York Knicks,108,122,Dallas Mavericks,usa/nba-2023-2024/new-york-knicks-dallas-mavericks-rJ8OPtEd/
03/Feb,New York Knicks,105,113,Los Angeles Lakers,usa/nba-2023-2024/new-york-knicks-los-angeles-lakers-UDDi6eH6/
01/Feb,New York Knicks,109,105,Indiana Pacers,usa/nba-2023-2024/new-york-knicks-indiana-pacers-A3LQ1tQK/
25/Jan,New York Knicks,122,84,Denver Nuggets,usa/nba-2023-2024/new-york-knicks-denver-nuggets-p2NrYklQ/
23/Jan,Brooklyn Nets,103,108,New York Knicks,usa/nba-2023-2024/brooklyn-nets-new-york-knicks-GAoZHwbS/
20/Jan,New York Knicks,126,100,Toronto Raptors,usa/nba-2023-2024/new-york-knicks-toronto-raptors-voYvDGsc/
18/Jan,New York Knicks,113,109,Washington Wizards,usa/nba-2023-2024/new-york-knicks-washington-wizards-8pGNrn1h/
17/Jan,New York Knicks,109,94,Houston Rockets,usa/nba-2023-2024/new-york-knicks-houston-rockets-SSBavX96/
15/Jan,New York Knicks,94,98,Orlando Magic,usa/nba-2023-2024/new-york-knicks-orlando-magic-xOxszIIK/
11/Jan,Dallas Mavericks,128,124,New York Knicks,usa/nba-2023-2024/dallas-mavericks-new-york-knicks-KnjhNJHH/
09/Jan,New York Knicks,112,84,Portland Trail Blazers,usa/nba-2023-2024/new-york-knicks-portland-trail-blazers-zPilzWLI/
06/Jan,Washington Wizards,105,121,New York Knicks,usa/nba-2023-2024/washington-wizards-new-york-knicks-WbeZMLo2/
05/Jan,Philadelphia 76ers,92,128,New York Knicks,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-dtsiAr2d/
01/Jan,New York Knicks,112,106,Minnesota Timberwolves,usa/nba-2023-2024/new-york-knicks-minnesota-timberwolves-vkQTlyzJ/
30/Dec,Indiana Pacers,140,126,New York Knicks,usa/nba-2023-2024/indiana-pacers-new-york-knicks-OCGoxbjD/
29/Dec,Orlando Magic,117,108,New York Knicks,usa/nba-2023-2024/orlando-magic-new-york-knicks-2qm4PK67/
27/Dec,Oklahoma City Thunder,129,120,New York Knicks,usa/nba-2023-2024/oklahoma-city-thunder-new-york-knicks-EqAWSYe2/
20/Dec,Brooklyn Nets,102,121,New York Knicks,usa/nba-2023-2024/brooklyn-nets-new-york-knicks-K2WXHKoF/
